Texts,Proper translation,Intrinsic hallucination,Extrinsic hallucination,Improper translation,Genres,
1,,,,+,Legal Transactions,
2,,,,+,Legal Transactions,
3,+,,,,Astrological Omen,Repetitions
4,+,,,,Oracular question,Repetitions
5,,,,+,Unknown literary text,
Total,2,,,3,,
,,,,,,
2.1,+,,,,Legal Transactions,
2.2,+,,,,Legal Transactions,
2.3,+,,,,Legal Transactions,
2.4,+,,,,Legal Transactions,
2.5,+,,,,Legal Transactions,
2.6,,+,,,Legal Transactions,
2.7,,+,,,Legal Transactions,
2.8,,,+,,Legal Transactions,
2.9,+,,,,Legal Transactions,
2.10,,,,+,Legal Transactions,
2.11,+,,,,Legal Transactions,
2.12,+,,,,Legal Transactions,
2.13,+,,,,Legal Transactions,
2.14,+,,,,Legal Transactions,
2.15,+,,,,Legal Transactions,
2.16,+,,,,Legal Transactions,
2.17,+,,,,Legal Transactions,
2.18,+,,,,Legal Transactions,
2.19,+,,,,Legal Transactions,
Total,15,2,1,1,,